 OBJECTID, GEO_ID, GEO_NAME, FIPS_CODE, Employer Insurance only - Pop < 19, Employer Insurance only - Pop < 19 *margin of error, Employer Insurance only - Pop 19-34, Employer Insurance only - Pop 19-34 *margin of error, Employer Insurance only - Pop 35-64, Employer Insurance only - Pop 35-64 *margin of error, Employer Insurance only - Pop 65+, Employer Insurance only - Pop 65+ *margin of error, Direct Purchase only - Pop < 19, Direct Purchase only - Pop < 19 *margin of error, Direct Purchase only - Pop 19-34, Direct Purchase only - Pop 19-34 *margin of error, Direct Purchase only - Pop 35-64, Direct Purchase only - Pop 35-64 *margin of error, Direct Purchase only - Pop 65+, Direct Purchase only - Pop 65+ *margin of error, Medicare only - Pop < 19, Medicare only - Pop < 19 *margin of error, Medicare only - Pop 19-34, Medicare only - Pop 19-34 *margin of error, Medicare only - Pop 35-64, Medicare only - Pop 35-64 *margin of error, Medicare only - Pop 65+, Medicare only - Pop 65+ *margin of error, Medicaid only - Pop < 19, Medicaid only - Pop < 19 *margin of error, Medicaid only - Pop 19-34, Medicaid only - Pop 19-34 *margin of error, Medicaid only - Pop 35-64, Medicaid only - Pop 35-64 *margin of error, Medicaid only - Pop 65+, TRICARE/Military only: - Pop < 19, TRICARE/Military only: - Pop < 19 *margin of error, TRICARE/Military only: - Pop 19-34, TRICARE/Military only: - Pop 19-34 *margin of error, TRICARE/Military only: - Pop 35-64, TRICARE/Military only: - Pop 35-64 *margin of error, TRICARE/Military only: - Pop 65+, TRICARE/Military only: - Pop 65+ *margin of error, VA Health Care only - Pop < 19, VA Health Care only - Pop < 19 *margin of error, VA Health Care only - Pop 19-34, VA Health Care only - Pop 19-34 *margin of error, VA Health Care only - Pop 35-64, VA Health Care only - Pop 35-64 *margin of error, VA Health Care only - Pop 65+, VA Health Care only - Pop 65+ *margin of error, 2 or more Insurance - Pop < 19, 2 or more Insurance - Pop < 19 *margin of error, 2 or more Insurance - Pop 19-34, 2 or more Insurance - Pop 19-34 *margin of error, 2 or more Insurance - Pop 35-64, 2 or more Insurance - Pop 35-64 *margin of error, 2 or more Insurance - Pop 65+, 2 or more Insurance - Pop 65+ *margin of error, Population with no Health Insurance Ages - 0-18, Population with no Health Insurance Ages - 0-18 *margin of error, Population with no Health Insurance Ages - 19-34, Population with no Health Insurance Ages - 19-34 *margin of error, Population with no Health Insurance Ages - 35-64, Population with no Health Insurance Ages - 35-64 *margin of error, Population with no Health Insurance Ages - Age 65+, Population with no Health Insurance Ages - Age 65+ *margin of error, Civilian noninstitutionalized population with Health Coverage, Civilian noninstitutionalized population with Health Coverage *margin of error, Total Civilian Noninstitutionalized Population - With health insurance coverage, Total Civilian Noninstitutionalized Population - With health insurance coverage *margin of error, Total Civilian Noninstitutionalized Population - With private health insurance, Total Civilian Noninstitutionalized Population - With private health insurance *margin of error, Total Civilian Noninstitutionalized Population - With public coverage, Total Civilian Noninstitutionalized Population - With public coverage *margin of error, Total Civilian Noninstitutionalized Population - No health insurance coverage, Total Civilian Noninstitutionalized Population - No health insurance coverage *margin of error, Civilian noninstitutionalized population under 19 years, Civilian noninstitutionalized population under 19 years *margin of error, Total Civilian Noninstitutionalized Population under 19 yrs - No health insurance coverage, Total Civilian Noninstitutionalized Population under 19 yrs - No health insurance coverage *margin of error, Percent of Population with No Health Insurance Coverage, Percent of Population with No Health Insurance Coverage *margin of error
11,0400000US13,Georgia,13,1146712,10946,1141024,7295,2244298,10850,30154,1274,134177,3998,186922,3987,341536,5119,5363,630,12111,1258,6532,654,78746,2669,389052,4299,957653,9863,154314,3151,187530,3729,,70588,3015,43812,1832,62129,2297,773,294,1200,454,7206,831,27743,1423,631,208,130296,3838,111176,3705,362959,5280,885249,4949,196064,4893,540112,6856,642010,10335,11355,1009,10109427,1677,8719886,17467,6645864,29138,3108401,13833,1389541,17855,2648801,2587,196064,4893,13.7,0.2
12,0400000US15,Hawaii,15,149468,2698,162877,2196,340130,2630,9696,615,14098,1016,16092,954,34389,1308,1527,249,731,317,823,258,5185,457,49605,1616,89224,2319,38420,1520,49629,1797,,28739,1155,17515,817,13411,634,64,38,126,62,819,302,2102,358,398,186,31353,1667,25013,1058,54569,1458,178881,1745,7665,707,21707,1252,24859,1188,1393,251,1370508,893,1314884,2147,1050936,4632,469008,4716,55624,2109,321404,609,7665,707,4.1,0.2
13,0400000US16,Idaho,16,213754,4077,179866,2871,340790,3611,4008,508,38077,2330,43940,1805,77326,2290,803,248,608,220,1056,359,8114,681,66383,1598,148127,3148,25190,1495,24755,1315,,7006,1117,4262,526,6594,611,19,23,57,57,1118,245,4058,527,198,98,29229,1706,21253,1175,58757,1643,177280,1678,26724,1768,68601,2090,87443,2808,979,216,1666375,469,1482628,4647,1162744,7142,536562,4950,183747,4648,463582,977,26724,1768,11,0.3
14,0400000US17,Illinois,17,1620406,10077,1606822,8005,3145720,12049,54574,1485,147745,3401,241565,3865,403677,5026,7969,638,6168,717,9128,831,75148,2271,509821,4113,1068548,10784,410774,5556,501193,5683,,17290,1224,12149,997,18213,1081,142,65,660,246,5095,484,17461,809,1239,214,139864,3819,117910,2808,336151,3780,1239163,4573,95362,3117,361967,5679,454208,7720,17075,1283,12643207,694,11714595,13128,8847326,28714,4244179,17233,928612,13081,3096043,2637,95362,3117,7.3,0.1
15,0400000US18,Indiana,18,882259,7201,826609,5639,1600343,7708,17354,773,68221,2459,106531,2657,177784,3485,2457,368,3285,602,5228,553,52676,1795,265732,3232,505530,6791,153435,3157,185689,3186,,10272,1107,7429,730,12489,813,109,62,266,108,4043,505,14594,922,696,199,87446,2574,71420,2167,211437,3275,668663,3356,109691,3615,221895,4008,259813,4858,5144,553,6538540,467,5941997,9513,4604459,17774,2126240,11808,596543,9610,1666970,1838,109691,3615,9.1,0.1
16,0400000US19,Iowa,19,416566,3990,410576,3288,767002,4373,8444,610,45169,1582,57023,1932,110991,1945,1280,211,776,223,1444,262,11409,687,115267,1794,219925,3484,82725,2141,93226,2160,,5511,712,3220,468,5460,476,48,36,243,123,1481,253,5210,544,317,121,61478,2404,44047,1513,103997,2009,363538,2010,23736,1595,60138,2086,67384,2292,1211,223,3088842,257,2936373,4190,2337073,8572,1046018,5850,152469,4218,773404,1203,23736,1595,4.9,0.1
17,0400000US20,Kansas,20,393751,4225,363396,3349,673809,4031,8934,542,49781,2004,62508,2007,96548,2087,1061,192,1512,437,1448,318,17576,885,105959,1731,200656,3486,33672,1595,36356,1543,,21636,1260,13319,810,13937,979,61,44,210,121,1934,345,6076,533,261,96,48681,1976,40300,1192,98400,2156,301035,1789,38922,2170,100426,2906,115318,2585,1846,288,2849329,726,2592817,5753,2131474,8523,823948,5354,256512,5689,755149,1135,38922,2170,9,0.2
18,0400000US21,Kentucky,21,486493,6227,480924,4530,955292,5265,10956,739,47233,2066,57981,1624,108951,2198,1700,272,3319,651,5092,685,57821,1939,172534,2587,407100,6324,189832,3269,255389,3815,,19093,1176,11497,744,15848,974,72,33,385,197,2637,403,9486,694,426,132,65234,2611,56676,1793,188564,2798,481244,2770,41127,1957,104581,3052,117739,2853,1969,297,4357195,636,4091779,5576,2839537,15717,1828939,11156,265416,5639,1069984,1697,41127,1957,6.1,0.1
19,0400000US22,Louisiana,22,450740,6244,496681,5370,915411,5353,18018,1003,51344,2445,80590,2233,147431,3042,2780,337,3087,541,4316,618,45658,1647,204251,2926,530466,6444,155882,3448,174398,3166,,17971,1438,12626,1006,15278,980,122,71,344,236,2569,469,10958,896,862,249,66726,3048,59597,2285,177596,3278,426460,3108,45175,2530,203464,4566,235296,4561,3177,441,4559274,768,4072162,8168,2787281,14587,1785609,8956,487112,8248,1165853,1413,45175,2530,10.7,0.2
20,0400000US23,Maine,23,140593,2503,135246,1842,320655,2631,5573,450,14223,873,21137,959,52355,1558,699,158,508,207,619,171,8684,646,61736,1282,79240,2054,31145,1156,41197,1482,,4151,636,2119,396,6515,638,146,57,165,81,1053,221,4534,441,239,90,17456,1031,15925,918,59422,1526,182658,1354,15089,1164,38034,1547,56101,1703,417,106,1317634,283,1207993,3157,918696,5360,484847,4265,109641,3190,271425,567,15089,1164,8.3,0.2
